Date,"Time Block",Type,"Plant Name",PX_Price,VC_Price,"Dispatch Type",Category,Technology,Volume
2025-12-24,00:00-00:15,DC,Tuticorin_BETAMWIND,0,0,Must,OTHER_ISGS_REMC,WIND,17.71
2025-12-24,00:00-00:15,DC,SIMHST2,0,0,Must,CENTRAL_ISGS,THERMAL,0.00
2025-12-24,00:00-00:15,SG,"U.P Solar",250,0,Must,STATE_SOLAR,SOLAR,0.32
2025-12-24,00:00-00:15,DC,UPPCL,0,0,Must,RTM,OTHER,0.00
2025-12-24,00:00-00:15,SG,KAWAS_NAPM,14868.989793793,14258,Merit,CENTRAL_ISGS,GAS,0.00
2025-12-24,00:00-00:15,SG,CPP,0,0,Must,CPP,CPP,719.23
2025-12-24,00:00-00:15,DC,"PRAYAGRAJ SUPERCRITICAL TPP BARA",3208.0665151828,2864,Merit,IPP,THERMAL,1118.36
2025-12-24,00:00-00:15,SG,KAPS_34,5212.6681941262,4986,Must,CENTRAL_ISGS,NUCLEAR,2.91
2025-12-24,00:00-00:15,DC,RPL_SECI_II_RE,0,0,Must,OTHER_ISGS_REMC,WIND,42.80
2025-12-24,00:00-00:15,DC,UNCHAHAR3,4308.6898562799,4118,Merit,CENTRAL_ISGS,THERMAL,59.80
2025-12-24,00:00-00:15,DC,RENEW_Bhadla,0,0,Must,OTHER_ISGS_REMC,SOLAR,0.00
2025-12-24,00:00-00:15,DC,CHAMERA3,2491.3601333056,2373,Must,CENTRAL_ISGS,HYDRO,0.00
2025-12-24,00:00-00:15,DC,"KHARA HYDEL",868.67382772155,599,Must,UPJVNL,HYDRO,28.00
2025-12-24,00:00-00:15,DC,KAWAS_CRF,0,0,Merit,CENTRAL_ISGS,GAS,0.00
2025-12-24,00:00-00:15,SG,"Bajaj Energy Private Ltd Unit Maqsoodapur",4474.3338153274,4090,Merit,IPP,THERMAL,22.34
2025-12-24,00:00-00:15,SG,KISHANGANGA,2989.1730889398,2851,Must,CENTRAL_ISGS,HYDRO,0.00
2025-12-24,00:00-00:15,SG,MBMP,3116.2299520933,2973,Merit,GNA,THERMAL,89.26
2025-12-24,00:00-00:15,SG,SINGRAULI_HYDRO,5689.6521558009,5444,Must,CENTRAL_ISGS,HYDRO,0.00
2025-12-24,00:00-00:15,DC,ROSA-II,3924.8605659988,3558,Merit,IPP,THERMAL,549.00
2025-12-24,00:00-00:15,DC,RAJ_SOLAR,0,0,Must,GNA,SOLAR,0.00
2025-12-24,00:00-00:15,SG,DADRI_CRF,0,0,Merit,CENTRAL_ISGS,GAS,0.00
2025-12-24,00:00-00:15,SG,SALAL,2240.3707560925,2132,Must,CENTRAL_ISGS,HYDRO,1.33
2025-12-24,00:00-00:15,DC,UNCHAHAR2,4348.2649448032,4156,Merit,CENTRAL_ISGS,THERMAL,121.22
2025-12-24,00:00-00:15,DC,DULHASTI,3275.5717558842,3126,Must,CENTRAL_ISGS,HYDRO,7.19
2025-12-24,00:00-00:15,SG,OI_IPP,0,0,Must,IPP,OTHER,2000.00
2025-12-24,00:00-00:15,DC,KAWAS-zLIQ,0,0,Merit,CENTRAL_ISGS,GAS,0.00
2025-12-24,00:00-00:15,DC,W1RL_DAYAPAR_BHUJ_W,0,0,Must,OTHER_ISGS_REMC,WIND,14.00
2025-12-24,00:00-00:15,DC,SINGRAULI,2297.6504894814,2187,Merit,CENTRAL_ISGS,THERMAL,653.16
2025-12-24,00:00-00:15,SG,W2RPL_DAYAPAR_BHUJ_W,0,0,Must,OTHER_ISGS_REMC,WIND,10.00
2025-12-24,00:00-00:15,DC,KSTPS12,1686.3195167673,1600,Merit,CENTRAL_ISGS,THERMAL,2.59
2025-12-24,00:00-00:15,DC,DADRI_RF,13355.763382629,12805,Merit,CENTRAL_ISGS,GAS,0.00
2025-12-24,00:00-00:15,DC,AURAIYA_SOLAR,0,0,Must,OTHER_ISGS_REMC,SOLAR,0.00
2025-12-24,00:00-00:15,SG,PARICHHA-C,4337.5852096674,3957.6,Merit,UPRVUNL,THERMAL,250.26
2025-12-24,00:00-00:15,SG,TEHRI,2520.520724849,2401,Must,CENTRAL_ISGS,HYDRO,0.00
